Youtuber,lowest_yearly_earnings,highest_yearly_earnings,channel_date,estimated_yearly_income,Category
LEGO,351600,5600000,2005-10-22,4560519.80,Entertainment
TWICE,296200,4700000,2016-03-27,2888901.07,Music
"Daily Dose Of Internet",1200000,19200000,2015-07-15,3436351.40,Entertainment
"Panda Shorts",1400000,23000000,2020-11-21,9540981.34,UNKNOWN
"Disney Junior",801400,12800000,2008-04-22,4216535.81,Entertainment
Lyna,192300,3100000,2014-09-08,2904145.07,Gaming
"MK MUSIC",409200,6500000,2010-01-18,2830457.50,Music
Unspeakable,494700,7900000,2016-05-01,5172781.46,Gaming
Camilo,179700,2900000,2010-07-29,2093040.76,Music
"Dear Sir",72200,1200000,2016-12-13,771022.15,Education
"Narendra Modi",557900,8900000,2007-10-26,848229.75,"News & Politics"
"Arif muhammad",215600,3400000,2017-01-18,2748422.98,"People & Blogs"
"DM - Desi Melodies",425500,6800000,2017-07-08,3942714.58,Music
"Zee Music Classic",259300,4100000,2014-05-20,2470245.02,Music
"Prime Video India",1000000,16100000,2016-10-03,4969503.94,Entertainment
"Linus Tech Tips",264700,4200000,2008-11-25,1912636.40,"Science & Technology"
"Juliana Baltar",168700,2700000,2010-05-09,1190602.18,Entertainment
"Katakit Baby TV",272700,4400000,2010-07-26,1965006.73,Music
"Infobells Bangla",503700,8100000,2016-06-13,4443832.11,Education
"Henrique e Juliano",491000,7900000,2009-06-27,4177006.67,Music
"Harsh Beniwal",83900,1300000,2015-05-06,890613.00,Comedy
Mrwhosetheboss,503100,8000000,2011-04-20,1245356.66,"Science & Technology"
Genierock,248400,4000000,2008-03-09,3883778.91,Music
"FC Barcelona",254600,4100000,2006-02-06,625065.46,Sports
"ILYA BORZOV",1400000,22800000,2021-04-01,19877622.91,"People & Blogs"
"Mazhavil Manorama",1100000,17400000,2011-10-31,5515322.04,Entertainment
"The MriDul",295000,4700000,2015-03-14,2251940.44,Comedy
"SRK MUSIC",173400,2800000,2012-03-16,2324247.14,Music
"Sony LIV",632700,10100000,2014-05-02,3178526.00,Entertainment
"T-Series Hamaar Bhojpuri",317900,5100000,2011-11-01,2521550.88,Entertainment
CNN,561000,9000000,2005-10-02,3155145.35,"News & Politics"
"NDTV India",149000,2400000,2008-01-19,1766444.84,"News & Politics"
"Ranz Kyle",37100,594000,2008-04-27,469368.37,"People & Blogs"
PowerfulJRE,130200,2100000,2013-01-12,1224081.14,"People & Blogs"
EdisonPts,286800,4600000,2013-06-24,2667403.14,Gaming
BIGBANG,122400,2000000,2005-10-10,1746082.62,Music
"ABS-CBN News",544900,8700000,2009-10-22,2996962.11,"News & Politics"
Chapitosiki,2100000,34200000,2020-01-24,18530576.14,Entertainment
AdeleVEVO,254300,4100000,2009-10-15,3546819.97,Music
MoreAliA,753000,12000000,2013-05-06,1740970.82,Gaming
"Chetan Monga Vlogs",340700,5500000,2014-08-17,4410712.53,"People & Blogs"
"League of Legends",129400,2100000,2009-02-09,2045643.13,Gaming
PlayStation,125400,2000000,2005-12-16,1053652.09,Gaming
"Sony Music South",726600,11600000,2014-08-06,4434992.96,Music
"Ray William Johnson",938600,15000000,2008-05-26,2730623.09,Entertainment
KOMPASTV,339200,5400000,2013-08-23,4730924.33,"News & Politics"
"A2 Motivation by Arvind Arora",392200,6300000,2017-04-07,5954692.14,Entertainment
"50 Cent",359400,5800000,2007-02-08,2517250.11,Music
"melanie martinez",169100,2700000,2007-11-03,1098796.09,Music
"Meghan Trainor",154900,2500000,2008-06-04,2306480.98,"People & Blogs"
Filaretiki,3600000,57800000,2021-03-24,31576417.05,UNKNOWN
"The Slow Mo Guys",56900,911000,2010-08-15,758607.31,Entertainment
"StudyIQ IAS",223400,3600000,2015-06-22,2014626.83,Education
"Chad Wild Clay",109000,1700000,2006-03-26,1588702.59,Comedy
"Colors Rishtey",1000000,16700000,2013-11-28,4944932.61,Entertainment
"ABC News",557100,8900000,2006-08-07,3049804.58,"News & Politics"
Auron,181700,2900000,2013-12-12,1334829.97,"People & Blogs"
Jesser,277800,4400000,2012-07-09,1310384.08,Gaming
PrestonPlayz,455100,7300000,2012-07-04,2096962.55,Gaming
"O Reino Infantil",329600,5300000,2014-08-19,4969912.14,Music
"Mis Pastelitos",152000,2400000,2014-06-24,1222623.45,"Howto & Style"
"Noman Official",417300,6700000,2019-10-28,5525773.75,Comedy
"BBC News",198800,3200000,2006-04-08,1081973.42,"News & Politics"
Telemundo,144900,2300000,2007-01-03,2145674.04,Entertainment
"TV9 Bharatvarsh",1300000,20100000,2018-11-19,8242815.94,"People & Blogs"
"Indore Physical Academy",211200,3400000,2014-04-19,1847301.24,"People & Blogs"
SelenaGomezVEVO,266000,4300000,2009-11-24,3263940.85,Music
NikkieTutorials,107800,1700000,2008-06-23,474218.38,"Howto & Style"
TommyInnit,162900,2600000,2015-12-24,1042395.57,Gaming
"infobells - Kannada",425100,6800000,2014-03-13,2912889.03,Education
SEVENGERS,1100000,17700000,2018-06-04,8190874.52,Comedy
"Neha Kakkar",76800,1200000,2012-10-22,775108.62,Music
"Supercar Blondie",1100000,17000000,2007-09-12,1351390.84,"Autos & Vehicles"
"Yudist Ardhana",528200,8500000,2016-01-06,3449426.81,Entertainment
"Lana Del Rey",406700,6500000,2011-05-05,2294738.43,Music
"Gallina Pintadita",211900,3400000,2011-08-02,3220316.94,Music
ViralHog,4100000,65500000,2014-08-22,8407860.95,"People & Blogs"
"Crescendo com Luluca",204200,3300000,2015-08-30,2547025.23,Entertainment
Jazzghost,320200,5100000,2012-08-30,2063035.55,Gaming
karameeshchannel,262900,4200000,2012-01-18,3311556.92,Entertainment
"Dental Digest",694700,11100000,2020-08-12,9933794.29,"People & Blogs"
"Atlantic Records",291900,4700000,2006-12-15,2944433.49,Music
Veritasium,132400,2100000,2010-07-21,666426.35,Education
"Alexa Rivera",428300,6900000,2010-08-21,982531.10,"Howto & Style"
Airrack,299000,4800000,2015-01-03,1112455.52,Entertainment
"Hacksmith Industries",251800,4000000,2006-04-20,428367.04,"Science & Technology"
"Geo News",300200,4800000,2007-01-10,1431972.14,"News & Politics"
"Kids TV India Hindi Nursery Rhymes",236000,3800000,2014-11-17,2954201.51,Shows
"Think Music India",651300,10400000,2009-08-15,3154098.16,Music
"Goldmines Premiere",112900,1800000,2013-10-12,789455.50,Entertainment
NishaMadhulika,66700,1100000,2009-08-02,839771.82,"Howto & Style"
Acenix,142300,2300000,2014-01-02,943138.67,Gaming
DALLMYD,92000,1500000,2011-02-01,649641.85,Sports
"Typical Gamer",97700,1600000,2008-08-24,1147088.43,Gaming
Anaysa,89100,1400000,2012-03-10,1253016.04,"Howto & Style"
"Awakening Music",105900,1700000,2006-12-25,1304926.23,Music
"Sanjoy Das Official",537700,8600000,2015-04-29,1956167.18,Entertainment
"Vlad y Niki Show",276700,4400000,2018-11-08,3698103.17,UNKNOWN
Codiscos,686700,11000000,2007-02-08,2947419.66,Music
"Vibhu 96",60800,972700,2022-06-05,82253.51,UNKNOWN
"My Mate Nate",125000,2000000,2014-12-08,1494948.85,Comedy
"GMA Integrated News",346400,5500000,2007-10-29,2392453.70,"News & Politics"
"Peet Montzingo",1200000,19100000,2014-06-01,4454470.04,"People & Blogs"
"Trakin Tech",131000,2100000,2011-11-02,754230.25,"Science & Technology"
Vogue,135300,2200000,2008-06-29,1113915.75,Entertainment
penguinz0,566800,9100000,2007-05-07,1943385.90,Gaming
BanderitaX,212100,3400000,2013-08-20,1651699.77,Gaming
"Sonotek Bhakti",76000,1200000,2010-12-27,1166072.68,Entertainment
Vilmei,792900,12700000,2013-09-25,1682265.96,UNKNOWN
"The Infographics Show",155500,2500000,2011-02-26,1754513.64,Education
"Technology Gyan",55600,888900,2015-11-17,569131.23,"Science & Technology"
WiederDude,170700,2700000,2016-06-12,1562104.45,UNKNOWN
"Ian Boggs",987900,15800000,2010-03-25,2803184.06,Entertainment
"Lokdhun Punjabi",103300,1700000,2010-12-27,1450038.30,Music
Painzeiro,132000,2100000,2015-11-06,1277900.90,"People & Blogs"
"Hungria Hip Hop",144700,2300000,2013-04-13,1843500.74,Music
RaptorGamer,188700,3000000,2016-07-16,1645293.67,"People & Blogs"
"twenty one pilots",152800,2400000,2009-09-05,1504011.34,Music
Davie504,89600,1400000,2011-05-18,894432.62,Entertainment
"Lofi Girl",91400,1500000,2015-03-18,849139.78,Music
"Susy Mouriz",1100000,17700000,2017-03-18,4180606.02,Entertainment
Akon,273700,4400000,2005-11-05,1400207.36,Music
"Rauw Alejandro",616600,9900000,2014-12-11,5112929.25,Music
"Adam W",686900,11000000,2015-10-04,4751491.78,Comedy
"FACT FIRE KING",153900,2500000,2020-07-29,1545720.34,UNKNOWN
"Franco Escamilla",232400,3700000,2007-10-19,1066739.29,Comedy
"YoungBoy Never Broke Again",509900,8200000,2015-01-04,6587196.70,Entertainment
Morgz,176500,2800000,2014-06-10,1468264.58,Gaming
"Ellie Goulding",110000,1800000,2007-01-29,1742294.52,Music
colinfurze,25400,407200,2006-11-15,379316.44,Entertainment
"People Vs Food",46000,736300,2013-07-30,454613.88,Entertainment
"First We Feast",333800,5300000,2014-02-28,1326133.21,"Howto & Style"
NDTV,175600,2800000,2006-05-08,1161363.16,Entertainment
elcarteldesantatv,347600,5600000,2008-11-27,1997188.12,Music
"Family Fitness",707100,11300000,2017-01-18,6923232.51,Entertainment
"Zee Tamil",1000000,16800000,2008-08-26,3080584.00,Entertainment
"Flowers Comedy",540100,8600000,2015-08-19,5845540.65,Entertainment
"Mundo Bita",641100,10300000,2011-09-29,5563596.25,Music
"DEV Ke Facts",821000,13100000,2012-09-29,716809.58,UNKNOWN
"Timba Vk",72100,1200000,2012-06-16,1032777.45,Gaming
"Zee Kids",285500,4600000,2012-07-06,2794061.91,"Film & Animation"
"bharatzkitchen HINDI",92900,1500000,2016-08-10,1322986.66,"Howto & Style"
"Avril Lavigne",150600,2400000,2005-10-08,1378242.26,Music
Caylus,532800,8500000,2016-04-06,2730936.86,Education
"Free Fire India Official",194200,3100000,2018-09-14,1339527.96,"People & Blogs"
RobTopGames,11600,185800,2012-05-09,136044.90,Gaming
